COMMU_LAB,Somme de Taux_chlordecone,Adresse_parcelle
MORNE-ROUGE(LE),624.7999999999997,Longchamps
MORNE-ROUGE(LE),484.3999999999998,M.Gustave
MORNE-ROUGE(LE),353.79999999999956,Grand Reduit
MORNE-ROUGE(LE),350.13999999999976,M.GUSTAVE Cyril
GROS-MORNE,308.4300000000002,Oscar De Reynal/Habitation St Michel
MACOUBA,293.3999999999999,JM
MORNE-ROUGE(LE),291.30000000000007,ChDegat1
MORNE-ROUGE(LE),274.45600000000024,Mav6
GROS-MORNE,249.49999999999966,Mr ESPERANCE
BASSE-POINTE,242.3,Leyritz
MORNE-ROUGE(LE),194.20799999999988,Mav3
MORNE-ROUGE(LE),177.0399999999999,Mav5
MORNE-ROUGE(LE),171,M. Manyri
TRINITE(LA),165.20000000000007,Habitation merveilleuse/ Trinite
MORNE-ROUGE(LE),158.5399999999999,Chan7
LORRAIN(LE),150.9,Habitation Acier
MACOUBA,149.2,M. Gonagon
MORNE-ROUGE(LE),145.992,Cha3
GRAND'RIVIERE,139.635,RemOr1
MACOUBA,130.5,Dupotiche
MORNE-ROUGE(LE),127.00000000000001,PSA2
LORRAIN(LE),123.85999999999997,M. Blondelle Larougery/Hab. La Pirogue
VAUCLIN(LE),116.99999999999987,"M,Dorby"
MORNE-ROUGE(LE),115.76,Leo3
GROS-MORNE,110.39999999999995,M.De Reynal
MORNE-ROUGE(LE),101.11399999999998,Mav4
MORNE-ROUGE(LE),100.77599999999997,Chan6
MORNE-ROUGE(LE),100.34000000000002,Chan5
MORNE-ROUGE(LE),99.97400000000002,Chan3
FRANCOIS(LE),95.08000000000001,Ber2
MORNE-ROUGE(LE),92.30399999999992,Mav7
MORNE-ROUGE(LE),89.23199999999999,Chan2
MORNE-ROUGE(LE),84.96000000000001,Mucy
MARIGOT(LE),81.90000000000002,Ancienne habitation Crassous/dependante de St James maintenant
BASSE-POINTE,80,Canal
LAMENTIN(LE),79.96799999999998,Gab2
MORNE-ROUGE(LE),77.00000000000001,JEAN-BAPTISTE Manuel
LAMENTIN(LE),76.43999999999998,Lareinty 111
BASSE-POINTE,74.77999999999997,Pecoul
SAINT-PIERRE,74.358,Mav1
LAMENTIN(LE),73.73599999999998,Roch
BASSE-POINTE,72.58999999999996,Fond sable
MORNE-ROUGE(LE),71.736,Char3
MORNE-ROUGE(LE),69.4,PSA1
BASSE-POINTE,67.49999999999999,Gradis
MORNE-ROUGE(LE),63.959999999999994,Char5
MORNE-ROUGE(LE),63.05600000000002,Cha4
MORNE-ROUGE(LE),62.85199999999993,M.Le pasteur
MORNE-ROUGE(LE),61.199999999999974,ChDegat2
MARIN(LE),57.44999999999998,P10
MORNE-ROUGE(LE),55.16000000000002,Mav2
MORNE-ROUGE(LE),54.60000000000001,Char2
SAINT-JOSEPH,53.250000000000014,Pru3
MORNE-ROUGE(LE),53.24400000000001,Char4
SAINTE-MARIE,51.599999999999994,M.Largange
MORNE-ROUGE(LE),48.07999999999999,PSA3
LAMENTIN(LE),47.2308,Bochette
MORNE-ROUGE(LE),46.84,Chan1
DUCOS,46.07999999999999,M.DJIRE
TRINITE(LA),43.78,Carole4
MORNE-ROUGE(LE),43.53799999999999,Cha2
MORNE-ROUGE(LE),43.08000000000001,Mornepob
MORNE-ROUGE(LE),41.39999999999999,Jean-Pi
MORNE-ROUGE(LE),40.96,PSA4
LORRAIN(LE),38.337,LouisorPim
MORNE-ROUGE(LE),36.4,Larade3
SAINT-JOSEPH,35.09999999999999,Flamboyant
SAINTE-MARIE,34.411999999999985,Leo6
MORNE-ROUGE(LE),33.44,Petitpa2
AJOUPA BOUILLON,33.24,Papaye
LORRAIN(LE),33.16800000000001,Nes2
AJOUPA BOUILLON,32.42399999999997,St Aime 1
MACOUBA,31.859999999999996,M.Gonagon
LORRAIN(LE),31.6,PoljoPim
MORNE-ROUGE(LE),31.6,LericChou
GRAND'RIVIERE,29.124,RemOr2
MORNE-ROUGE(LE),29.048,Chan4
MACOUBA,28.154800000000016,Riviere Roche
SAINTE-MARIE,27.566,Leo8
LAMENTIN(LE),27.299999999999997,Lareinty 112
RIVIERE-PILOTE,26.999999999999986,Monl5
DUCOS,26.700000000000006,Carette
FRANCOIS(LE),26.546000000000014,Pav1
MORNE-ROUGE(LE),25.52,Vois2
SAINT-JOSEPH,25.499999999999993,Mathi5
FRANCOIS(LE),25.480000000000008,Toto4
MORNE-ROUGE(LE),25.42800000000001,Vois1
ROBERT(LE),25.267000000000003,Bou4
BASSE-POINTE,24.699999999999996,Le Verger
MORNE-ROUGE(LE),24.56,Petitpa1
MORNE-ROUGE(LE),24.51,Osn2
SAINT-ESPRIT,24.12,Poulgo1
SAINTE-MARIE,23.73,Juste3
LORRAIN(LE),23.634,Nes1
SAINT-ESPRIT,22.7,MPParc3
SAINT-JOSEPH,21.299999999999997,CharlecTom2
BASSE-POINTE,21.088,LebielFP3
TRINITE(LA),20.999999999999996,Yerro4
SAINT-ESPRIT,20.9,Antibes3
SAINT-ESPRIT,20.400000000000002,Monl3
MORNE-ROUGE(LE),20.180000000000003,Dev5
TRINITE(LA),20.1,Carole3
MORNE-ROUGE(LE),20.06,M. GOLVET
AJOUPA BOUILLON,19.979999999999997,Dup4
MORNE-ROUGE(LE),19.656000000000002,Lege
TRINITE(LA),19.5,Richard1
TRINITE(LA),19.2,Yerro5
SAINT-JOSEPH,19.04099999999999,Lab2
SAINT-JOSEPH,19.03,Mathi3
ROBERT(LE),19.020000000000003,Bou5
SAINTE-MARIE,18.3,Leo7
LAMENTIN(LE),18.27,Ilot2
RIVIERE-SALEE,18.23,Morel
GRAND'RIVIERE,17.88,Pommed'eau
SAINT-ESPRIT,17.36,MPParc4
GROS-MORNE,17.31,PlantainHa
MORNE-ROUGE(LE),17.16,Platolev
SAINT-ESPRIT,17.02800000000001,Wil2
MORNE-ROUGE(LE),17.02,Signardy
AJOUPA BOUILLON,16.812,Dup6
SAINTE-MARIE,16.65,Juste1
SAINTE-MARIE,16.5,Fijo
