Adresse_parcelle,Année,COMMU_LAB,Moyenne de mnt.exposition_mean,Moyenne de mnt.ombrage_mean,Moyenne de mnt.pente_mean,Moyenne de mnt.tpi_mean,Moyenne de mnt.tri_mean,Moyenne de moyenne_pulviometrie,Moyenne de Taux_chlordecone,Parcelle_cadastrale
 286 Residence Le Balleu,2018,SAINT-JOSEPH,52.75951601,170.55261005,23.698889738333335,0.5670023595000001,4.562617226333334,"2500,00",0.001,""
 Vert Pre Robert,2017,ROBERT(LE),230.5030623875,184.5869830375,15.715137982750003,-2.28005421725,3.5472941261249997,"2500,00",0.024600000000000004,9722220000K0034
 Vert Pre Robert,2017,ROBERT(LE),177.98469036666665,138.39670980000002,28.13306040666667,0.011579068333333331,5.648979756666667,"2500,00",0.008,9722220000K0263
"0,8 Km Quartier Tracee",2017,TRINITE(LA),158.17730102000002,149.3649795,17.6170401,1.1908977026,3.6235201366,"2500,00",0.001,9722300000P0204
1 Impasse du Manioc,2018,FRANCOIS(LE),234.806594104,204.67009164,20.527892807799997,0.16392855100000006,4.8567112956,"1750,00",0.0016999999999999997,""
1 km route de Grand Fond,2018,CASE-PILOTE,181.3424715111111,142.50813471000004,24.82009067,1.9287864126666667,5.475593497666667,"1750,00",0.001,""
1 Km route de Tracee,2017,TRINITE(LA),181.7041336,167.5302999,9.954644089,0.503917154,1.928703216,"2500,00",0.001,9722300000P0162
1 Rue des Cocotiers,2017,SCHOELCHER,238.10178242,183.20030368,9.493964189,-0.21964620940000001,1.7677957037999998,,,""
"1, Morne Vente",2017,CASE-PILOTE,257.629515225,184.1427059,3.5485508735,-0.50731290725,0.93083500875,,,""
10 km 500 route de Balata,2017,FORT-DE-FRANCE,281.05638748,198.09840602,14.560753325999997,0.10495785100000002,2.972399205,,,""
10 km route de Balata,2017,FORT-DE-FRANCE,212.45699815999996,171.13259852000002,26.169875466,-3.1435894762,6.467765415,"3250,00",0.30779999999999996,9722090000B0116
10 Lot. Bois Lezard,2018,GROS-MORNE,143.87448640725,191.404200125,9.034355359000001,-0.223767254,1.8230082347499998,"3250,00",0.20670000000000005,""
