CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPrelevement;CoordXPrel;CoordYPrel;ProjectPrel;LibelléProjection;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DatePrel;HeurePrel;DateFinPrel;HeureFinPrel;CdZoneVerticaleProspectee;MnémoZoneVerticaleProspectée;ProfondeurPrel;CdDifficultePrel;MnemoDifficultePrel;CdAccredPrel;MnemoAccredPrel;AgrePrel;CdFinalitePrel;LbFinalitePrel;CommentairesPrel;CdRdd;NomRdd;CdProducteurPrelevement;NomProducteurPrelevement;CdPreleveur;NomPreleveur
"07001010";"Rivière du Bananier à CAPESTERRE-BELLE-EAU";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-05-02;09:57:00;2022-05-02;09:57:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07001010";"Rivière du Bananier à CAPESTERRE-BELLE-EAU";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-07-25;09:53:00;2022-07-25;09:53:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07001010";"Rivière du Bananier à CAPESTERRE-BELLE-EAU";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-12-01;11:25:00;2022-12-01;11:25:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07001010";"Rivière du Bananier à CAPESTERRE-BELLE-EAU";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-12-20;11:10:00;2022-12-20;11:10:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07002142";"Rivière du Petit Carbet à TROIS-RIVIÈRES";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-05-02;09:31:00;2022-05-02;09:31:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07002142";"Rivière du Petit Carbet à TROIS-RIVIÈRES";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-07-25;09:30:00;2022-07-25;09:30:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07002142";"Rivière du Petit Carbet à TROIS-RIVIÈRES";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-12-01;09:40:00;2022-12-01;09:40:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07002142";"Rivière du Petit Carbet à TROIS-RIVIÈRES";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-12-20;10:40:00;2022-12-20;10:40:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07003160";"Rivière Beaugendre à VIEUX-HABITANTS";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-04-25;07:25:00;2022-04-25;07:25:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
"07003160";"Rivière Beaugendre à VIEUX-HABITANTS";"RAS";;;"39";"RRAF 91 (WGS84) / UTM 20";"3";"Eau";"286";"Prélèvement d'eau par flacon à ouverture permanente sans transvasement";2022-07-18;07:22:00;2022-07-18;07:22:00;;;;"0";"Difficultés inconnues";"0";"INCONNU";"0";"0";"Finalité inconnue";"RAS";"700000011";;"20000438000032";"OFFICE DE L'EAU GUADELOUPE";"90186554300010";"OF CONSULTING (OFC)"
