CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
"08504101";"Pont Belle-Ile";;716044;1623440;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR113";;;;;;;;"25040860";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2018-06-28;"Suivi Pesticides";"Sur le pont chemin Saint-Maurice à Belle Île";"M";"Station de mesure Manuelle";55;;3;;
"08501101";"Palourde Lézarde";;710081;1627856;"39";"RRAF 91 (WGS84) / UTM 20";"97212";"Gros-Morne";"972";"Martinique";"02";"Martinique";"FRJR113";;;;;;;;"25010670";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Amont pont sur le chemin entre le calvaire et la route forestière de Palourde";"M";"Station de mesure Manuelle";242;;3;;
"07050012";"Rivière La Rose à GOYAVE";;650406;1785944;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"jardin d'eau";"0";"Nature de la station inconnue";;;;;
"08423101";"Pont de Chaînes";;707857;1616934;"39";"RRAF 91 (WGS84) / UTM 20";"97209";"Fort-de-France";"972";"Martinique";"02";"Martinique";"FRJR116";;;;;;;;"24230430";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-10-18;"Suivi DCE";"300 mètres en amont du pont de chaînes (derrière station Totale)";"M";"Station de mesure Manuelle";8;;3;;16.23
"08102101";"Stade de Grand Rivière";;696272;1644387;"39";"RRAF 91 (WGS84) / UTM 20";"97211";"Grand'Rivière";"972";"Martinique";"02";"Martinique";"FRJR101";;;;;;;;"21010860";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Juste en aval du spot de baignade sur la Grande Rivière";"M";"Station de mesure Manuelle";32;;1;;
"08203101";"Amont confluence Pirogue";;709285;1634691;"39";"RRAF 91 (WGS84) / UTM 20";"97214";"Le Lorrain";"972";"Martinique";"02";"Martinique";"FRJR103";;;;;;;;"22031300";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"En amont sur la Rivière Lorrain après le Gué sur la rivière Pirogue";"M";"Station de mesure Manuelle";116;;1;;
"07012220";"Rivière Bras David à PETIT-BOURG";;640170;1789080;"39";"RRAF 91 (WGS84) / UTM 20";"97121";"Pointe-Noire";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Maison de la Forêt (DAV220)";"0";"Nature de la station inconnue";;;;;
"07034020";"Rivière du Pérou à CAPESTERRE-BELLE-EAU";;653680;1775760;"39";"RRAF 91 (WGS84) / UTM 20";"97105";"Basse-Terre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Ilet Pérou";"0";"Nature de la station inconnue";;;;;
"07035150";"Rivière Petite Plaine à POINTE-NOIRE";;634600;1794920;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"N.D. des Larmes (RPP150)";"0";"Nature de la station inconnue";;;;;
"08824101";"Dormante";;719697;1602507;"39";"RRAF 91 (WGS84) / UTM 20";"97227";"Sainte-Luce";"972";"Martinique";"02";"Martinique";"FRJR109";;;;;;;;"28240230";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"Sur la D7 en aval du pont sur la rivière Oman";"M";"Station de mesure Manuelle";5;;1;;
"07046295";"Rivière du Plessis à VIEUX-HABITANTS";;635500;1775040;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Vanibel";"0";"Nature de la station inconnue";;;;;
"08541101";"Ressource";;716785;1616342;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR111";;;;;;;;"25411480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2007-01-01;;2020-04-29;"Suivi DCE";"En aval de la passerelle à Ressource";"M";"Station de mesure Manuelle";1;;1;;
"07008015";"Grande Rivière de Capesterre à CAPESTERRE-BELLE-EAU";;653810;1776070;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
"08115101";"Pr AEP-Vivé-Capot";;704840;1640598;"39";"RRAF 91 (WGS84) / UTM 20";"97214";"Le Lorrain";"972";"Martinique";"02";"Martinique";"FRJR102";;;;;;;;"21150560";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"En aval de la Prise AEP de la Capot";"M";"Station de mesure Manuelle";52;;3;;57
"07016001";"Rivière le Galion à BASSE-TERRE";;637110;1768100;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
"07009010";"Rivière du Grand Carbet à CAPESTERRE-BELLE-EAU";;652760;1772300;"39";"RRAF 91 (WGS84) / UTM 20";"97109";"Gourbeyre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
"07048110";"Rivière Moreau à SAINTE-ROSE";;638325;1799225;"39";"RRAF 91 (WGS84) / UTM 20";"97121";"Pointe-Noire";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Amont distillerie Séverin (RPB110)";"0";"Nature de la station inconnue";;;;;
"08623101";"Fontane";;728319;1613157;"39";"RRAF 91 (WGS84) / UTM 20";"97210";"Le François";"972";"Martinique";"02";"Martinique";;;;;;;;;"26230490";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";1999-01-01;;2018-06-08;"Suivi Pesticides";"Quartier Fontane sur la rivière du Simon";"M";"Station de mesure Manuelle";13;;1;;
"07045008";"Rivière Moustique Sainte-Rose à SAINTE-ROSE";;641737;1803207;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"amont de l'embouchure (RMOst3)";"0";"Nature de la station inconnue";;;;;
"08113101";"Pont de Mackintosh";;702714;1634671;"39";"RRAF 91 (WGS84) / UTM 20";"97218";"Le Morne-Rouge";"972";"Martinique";"02";"Martinique";"FRJR102";;;;;;;;"21130560";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2007-01-01;;2018-06-08;"Suivi Pesticides";"En aval du pont qui passe sur la rivière Capot (après Savane Petit)";"M";"Station de mesure Manuelle";313;;1;;
"08213101";"Pont RD24 Sainte-Marie";;714516;1634204;"39";"RRAF 91 (WGS84) / UTM 20";"97228";"Sainte-Marie";"972";"Martinique";"02";"Martinique";"FRJR105";;;;;;;;"22111460";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont du pont de la RD24 avant le Morne Cossou";"M";"Station de mesure Manuelle";14;;1;;
"08521101";"Gué de la Desirade";;715828;1622423;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR112";;;;;;;;"25211480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont du Gué de la Désirade";"M";"Station de mesure Manuelle";38;;3;;
"08329101";"Saint-Pierre (ancien pont)";;696236;1631379;"39";"RRAF 91 (WGS84) / UTM 20";"97225";"Saint-Pierre";"972";"Martinique";"02";"Martinique";"FRJR120";;;;;;;;"23290480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont de l'ancien pont sur la Roxelane";"M";"Station de mesure Manuelle";4;;3;;
"07023495";"Rivière Aux Herbes à SAINT-CLAUDE";;640460;1772150;"39";"RRAF 91 (WGS84) / UTM 20";"97132";"Trois-Rivières";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Choisy";"0";"Nature de la station inconnue";;;;;
"08533101";"Brasserie Lorraine";;718211;1617870;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR112";;;;;;;;"25330750";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2018-06-28;"Suivi Pesticides";"En amont du pont après Brasserie Lorraine sur la N2006 vers rivière Caleçon";"M";"Station de mesure Manuelle";10;;1;;
"08209101";"Pont RN sur Rouge";;706203;1641942;"39";"RRAF 91 (WGS84) / UTM 20";"97214";"Le Lorrain";"972";"Martinique";"02";"Martinique";;;;;;;;;"22090620";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";2007-01-01;;2018-06-08;"Suivi Pesticides";"En amont du pont de la Rivière Rouge (RN1)";"M";"Station de mesure Manuelle";12;;1;;
"07023005";"Rivière Aux Herbes à BASSE-TERRE";;636310;1769030;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Marché";"0";"Nature de la station inconnue";;;;;
"08521102";"Pont RN1";;716999;1617836;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR112";;;;;;;;"25211480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Pont RN1 au Lamentin, entre Brasserie Lorraine et Mangot Vulcin";"M";"Station de mesure Manuelle";9;;3;;132.2
"07049040";"Rivière Bras de Sable à LAMENTIN";;642175;1795000;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Ravine Chaude - radier avant confluence";"0";"Nature de la station inconnue";;;;;
"08225101";"Grand Galion";;719614;1628049;"39";"RRAF 91 (WGS84) / UTM 20";"97230";"La Trinité";"972";"Martinique";"02";"Martinique";"FRJR106";;;;;;;;"22251790";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont du hangar (site entretien mécanique)";"M";"Station de mesure Manuelle";6;;1;;
"07045080";"Rivière Moustique (sainte-rose) à SAINTE-ROSE";;638729;1802927;"39";"RRAF 91 (WGS84) / UTM 20";"97105";"Basse-Terre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-07;;2021-04-30;"Programme DCE";"Saint-Val";"0";"Nature de la station inconnue";;;;;
"07002142";"Rivière du Petit Carbet à TROIS-RIVIÈRES";;645867;1767322;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-07;;2021-04-30;"Programme DCE";"Chemin Langlois";"0";"Nature de la station inconnue";;;;;
"07044007";"Grande Rivière des Vieux Habitants à VIEUX-HABITANTS";;632200;1776310;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Amont embouchure (RDV7)";"0";"Nature de la station inconnue";;;;;
"08105101";"Amont bourg Basse-Pointe";;702811;1644665;"39";"RRAF 91 (WGS84) / UTM 20";"97203";"Basse-Pointe";"972";"Martinique";"02";"Martinique";;;;;;;;;"21050440";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";2007-01-01;;2018-06-08;"Suivi Pesticides";"En amont du pont au Bourg de Basse-Pointe";"M";"Station de mesure Manuelle";9;;1;;
